NAMESPACE     NAME                                      READY   STATUS      RESTARTS         AGE     IP             NODE   NOMINATED NODE   READINESS GATES
kube-system   coredns-8db54c48d-7v8ss                   1/1     Running     1 (12d ago)      12d     10.42.0.10     c1     <none>           <none>
kube-system   helm-install-traefik-crd-25k64            0/1     Completed   0                12d     <none>         c1     <none>           <none>
kube-system   helm-install-traefik-qpplw                0/1     Completed   2                12d     <none>         c1     <none>           <none>
kube-system   local-path-provisioner-5d9d9885bc-w6fh6   1/1     Running     1 (12d ago)      12d     10.42.0.11     c1     <none>           <none>
kube-system   metrics-server-786d997795-4t8gj           1/1     Running     1 (12d ago)      12d     10.42.0.9      c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-8zxqj              2/2     Running     14 (4d19h ago)   12d     10.42.1.11     c2     <none>           <none>
kube-system   svclb-traefik-7ab09d61-bp9cn              2/2     Running     0                12d     10.42.0.15     c1     <none>           <none>
kube-system   svclb-traefik-7ab09d61-x5cmh              2/2     Running     12 (4d18h ago)   12d     10.42.3.10     c3     <none>           <none>
kube-system   traefik-9bcdbbd9-m82d7                    1/1     Running     1 (12d ago)      12d     10.42.0.12     c1     <none>           <none>
kubeedge      cloud-iptables-manager-l7lpb              1/1     Running     6 (4d18h ago)    5d21h   10.10.10.135   c3     <none>           <none>
kubeedge      cloud-iptables-manager-mnh8d              1/1     Running     7 (4d19h ago)    5d21h   10.10.10.134   c2     <none>           <none>
kubeedge      cloud-iptables-manager-nw279              1/1     Running     0                5d21h   10.10.10.133   c1     <none>           <none>
kubeedge      cloudcore-589789b9fc-4qfvm                1/1     Running     0                4d20h   10.10.10.135   c3     <none>           <none>
kubeedge      cloudcore-589789b9fc-8nqmw                1/1     Running     0                4d21h   10.10.10.134   c2     <none>           <none>
kubeedge      cloudcore-589789b9fc-bphz8                1/1     Running     0                11d     10.10.10.133   c1     <none>           <none>
kubeedge      edge-eclipse-mosquitto-7l5gz              1/1     Running     6 (5d18h ago)    12d     10.10.20.132   e2     <none>           <none>
kubeedge      edge-eclipse-mosquitto-szthb              1/1     Running     6 (5d18h ago)    12d     10.10.20.131   e1     <none>           <none>
kubeedge      edgemesh-agent-l2n4z                      1/1     Running     5 (5d18h ago)    5d21h   10.10.20.131   e1     <none>           <none>
kubeedge      edgemesh-agent-qf7pk                      1/1     Running     5 (5d18h ago)    5d21h   10.10.20.132   e2     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-dj67m            1/1     Running     0                147m    10.88.1.135    e1     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-dnm2w            1/1     Running     0                147m    10.88.1.133    e1     <none>           <none>
testapp       nginx-testapp-5c8f4cb9d7-ww6hl            1/1     Running     0                147m    10.88.1.134    e1     <none>           <none>
